Sentiment	SentimentText
1	oskarżenia  
1	oskarżać  
1	oskarżeń  
1	oskarżając  
1	oskarżająco   
1	ostro  
1	ból  
1	obolały  
1	pogorszyć  
1	obciążające  
1	pogorszenie  
1	agresja  
1	agresywny  
1	agresywność  
1	agresor   
1	pokrzywdzony  
1	pogorszenie  
1	przerażony  
1	agonie  
1	agonować  
1	bolesny  
1	agonująco  
1	agonia    
1	cierpiący  
1	dolegliwość  
1	bez celu 
1	alarmowany  
1	alarmujący  
1	alarmująco  
1	alienować  
1	wyobcowany  
1	anty-okupacja  
1	antyproliferacja  
1	antysemity  
1	antyspołeczne  
1	anti-us  
1	anty-biały  
1	niechęć  
1	przestarzały  
1	antytetyczne  
1	lęki  
1	niepokój  
1	zaniepokojony  
1	z niepokojem  
1	niepokój  
1	apatyczny  
1	audiencyjnie  
1	surowy  
1	autorytarny  
1	autokrata  
1	autokratyczny  
1	lawina  
1	chciwość  
1	zachłanny  
1	żarłocznie  
1	pomsty  
1	awers  
1	niechęć  
1	aweful  
1	okropne  
1	strasznie  
1	okropność  
1	niezręczny  
1	niezręczność  
1	topór  
1	bełkot  
1	back-zalogowany  
1	back-wood  
1	back-woods  
1	ból pleców  
1	bóle pleców  
1	backaching  
1	backbite  
1	backbiting  
1	wstecz  
1	zacofanie  
1	Backwood  
1	zjadliwie  
1	gorzki  
1	gorzko  
1	gorycz  
1	dziwaczne  
1	blab  
1	blabber  
1	szantaż  
1	bla  
1	winić  
1	naganne  
1	nijakie  
1	słodki  
1	bluźnierstwo  
1	bluźniercze  
1	bluźnierstwo  
1	piaskowane  
1	rażący  
1	rażąco  
1	blather  
1	ponury  
1	ponuro  
1	mroczność  
1	krwawienie  
1	krwawienie  
1	krwawienia  
1	skaza  
1	niewidomych  
1	oślepienie  
1	oślepiająco  
1	ślepa uliczka  
1	blister  
1	pęcherze  
1	nadęty  
1	blokada  
1	przyczółek  
1	rozlew krwi  
1	krwiożerczy  
1	krwawy  
1	poplamione  
1	uderzenie  

1	złamane  
1	złamane serce  
1	czerw  
1	brewbeat  
1	siniak  
1	posiniaczony  
1	siniaki  
1	siniak  
1	brutalny  
1	brutalny  
1	brutalizujący  
1	brutalności  
1	brutalność  
1	brutalizować  
1	brutalizujący  
1	brutalnie  
1	brutalny  
1	brutalny  
1	bs  
1	klamra  
1	błąd  
1	podsłuch  
1	buggy  
1	błędy  
1	bulkier  
1	objętościowość  
1	nieporęczne  
1	grubość  
1	byk 
1	byk 
1	łobuziaki  
1	bzdury  
1	bullshyt  
1	łobuz  
1	zastraszanie  
1	zastraszająco  
1	bum  
1	guz 
1	wpadł  
1	wpadanie  
1	uderzanie  
1	guzy  
1	wyboisty  
1	bungle  
1	bungler  
1	dławienie się  
1	łóżko piętrowe  
1	obciążenie  
1	uciążliwe  
1	ciężko  
1	palić  
1	spalony  
1	spalanie  
1	oparzenia  
1	popiersie  
1	popiersia  
1	intrygujący  
1	rzeźnik  
1	rzeź  
1	brzęczenie  
1	bizantyjski  
1	gruchanie  
1	katastrofy  
1	klęski  
1	fatalnie  
1	nieszczęście  
1	bezduszny  
1	kalumniować  
1	kalumniacja  
1	kalumny  
1	kalumny  
1	oszczercze  
1	oszczerstwo  
1	rak  
1	rakowaty  
1	kanibal  
1	kanibalizacja  
1	kapitulować  
1	kapryśny  
1	kapryśnie  
1	kapryśność  
1	przewrócone  
1	niedbały  
1	niedbalstwo  
1	karykatura  
1	rzeź  
1	karp  
1	kreskówkowy  
1	gotówka  
1	castigate  
1	kastrowany  
1	ofiara  
1	kataklizm  
1	kataklizm  
1	kataklizm  
1	kataklizmem  
1	katastrofa  
1	katastrofy  
1	katastrofalny  
1	katastrofalnie  
1	katastrofy  
1	kaustyczny  
1	kaustycznie  
1	przestroga  
1	jaskinia  
1	cenzura  
1	chafe  
1	plew  
1	zmartwienie  
1	wyzwanie  
1	chaos  
1	chaotyczny  
1	chasten  
1	karcić  
1	kara  
1	paplanina  
1	gaduła  
1	tanie  
1	cheapen  
1	tanio  
1	oszukiwać  
1	oszukany  
1	oszust  
1	oszukiwanie  
1	kody  
1	w kratkę  
1	bezczelny  
1	kiepski  
1	Chide  
1	dziecinny  
1	chłód  
1	chłodno  
1	chintzy  
1	ssanie  
1	choleryk  
1	niepewny  
1	chore  
1	przewlekłe  
1	masywny  
1	zgiełk  
1	krzykliwy  
1	zderzenie  
1	cliche  
1	cliched  
1	klika  
1	zapchać  
1	zatkany  
1	drewniaki  
1	chmura  
1	zmętnienie  
1	pochmurno  
1	Clue  
1	niezdarny  
1	clunky  
1	gruby  
1	zarozumiały  
1	przymus  
1	przymus  
1	przymus  
1	zimno  
1	zimno  
